########

## 	Model: LSTM with N=512

########

1017	0.214567
1018	0.210597
1019	0.218376
1020	0.176661
1021	0.160654
1022	0.142428
1023	0.113944
1024	0.109699
1025	0.110802
1026	0.109720
1027	0.110846
1028	0.125152
1029	0.186606
1030	0.160353
1031	0.127693
1032	0.104208
1033	0.097543
1034	0.105971
1035	0.101887
1036	0.105270
1037	0.106263
1038	0.113047
1039	0.102239
1040	0.116680
1041	0.101522
1042	0.100755
1043	0.107576
1044	0.121403
1045	0.100667
1046	0.098388
1047	0.107491
1048	0.112998
1049	0.110556
1050	0.118804
1051	0.100425
1052	0.105868
1053	0.107458
1054	0.117772
1055	0.102793
1056	0.107092
1057	0.108328
1058	0.127598
1059	0.099540
1060	0.100043
1061	0.113145
1062	0.115779
1063	0.120224
1064	0.110609
1065	0.107405
1066	0.113829
1067	0.107318
1068	0.117084
1069	0.118705
1070	0.164179
1071	0.176343
1072	0.232938
1073	0.175018
1074	0.154540
1075	0.126355
1076	0.112137
1077	0.105769
1078	0.106796
1079	0.104723
1080	0.117117
1081	0.100490
1082	0.113755
1083	0.106309
1084	0.099981
1085	0.100542
1086	0.101768
1087	0.100415
1088	0.114839
1089	0.095735
1090	0.096964
1091	0.109056
1092	0.098613
1093	0.095476
1094	0.111669
1095	0.106217
1096	0.123734
1097	0.101325
1098	0.105714
1099	0.124600
1100	0.184247
1101	0.240537
1102	0.411961
1103	0.213165
1104	0.199945
1105	0.194172
1106	0.189806
1107	0.183085
1108	0.182308
1109	0.193558
1110	0.187475
1111	0.180264
1112	0.172064
1113	0.167194
1114	0.171932
1115	0.165038
1116	0.169122
1117	0.180307
1118	0.176517
1119	0.164461
1120	0.162032
1121	0.155355
1122	0.169864
1123	0.206832
1124	0.173275
1125	0.167496
1126	0.159372
1127	0.162441
1128	0.183888
1129	0.182394
1130	0.160635
1131	0.151426
1132	0.169159
1133	0.170221
1134	0.154301
1135	0.147805
1136	0.175334
1137	0.178428
1138	0.150692
1139	0.146410
1140	0.156471
1141	0.174757
1142	0.156364
1143	0.151509
1144	0.156533
1145	0.182427
1146	0.174154
1147	0.155357
1148	0.148121
1149	0.138550
1150	0.145846
1151	0.153341
1152	0.150759
1153	0.165344
1154	0.150039
1155	0.159632
1156	0.167248
1157	0.165342
1158	0.146670
1159	0.141486
1160	0.144390
1161	0.167911
1162	0.146616
1163	0.147429
1164	0.139987
1165	0.168801
1166	0.147993
1167	0.151479
1168	0.153098
1169	0.157684
1170	0.140752
1171	0.136915
1172	0.147074
1173	0.166363
1174	0.183252
1175	0.145778
1176	0.134289
1177	0.136919
1178	0.156441
1179	0.171940
1180	0.152235
1181	0.139900
1182	0.137888
1183	0.140616
1184	0.145513
1185	0.165910
1186	0.184315
1187	0.144414
1188	0.121316
1189	0.112750
1190	0.108571
1191	0.117169
1192	0.141889
1193	0.155956
1194	0.137760
1195	0.161682
1196	0.142573
1197	0.117659
1198	0.114466
1199	0.100272
1200	0.098475
1201	0.104939
1202	0.110057
1203	0.102387
1204	0.126551
1205	0.097530
1206	0.094835
1207	0.097805
1208	0.095283
1209	0.098419
1210	0.109486
1211	0.115694
1212	0.135541
1213	0.154757
1214	0.663177
1215	0.243089
1216	0.183546
1217	0.166763
1218	0.156060
1219	0.146228
1220	0.136739
1221	0.130733
1222	0.114185
1223	0.104615
1224	0.107998
1225	0.100730
1226	0.098752
1227	0.105160
1228	0.113562
1229	0.098717
1230	0.093431
1231	0.089787
1232	0.095302
1233	0.101769
1234	0.112270
1235	0.102832
1236	0.096693
1237	0.096332
1238	0.100141
1239	0.101521
1240	0.105789
1241	0.101277
1242	0.098656
1243	0.098123
1244	0.104694
1245	0.102999
1246	0.103777
1247	0.112401
1248	0.114040
1249	0.114991
1250	0.130052
1251	0.132539
1252	0.130082
1253	0.110069
1254	0.125472
1255	0.101063
1256	0.097606
1257	0.102675
1258	0.109716
1259	0.103521
1260	0.106594
1261	0.102091
1262	0.097295
1263	0.097292
1264	0.104134
1265	0.102852
1266	0.106432
1267	0.100308
1268	0.103602
1269	0.103858
1270	0.102932
1271	0.099515
1272	0.092887
1273	0.101119
1274	0.097644
1275	0.098109
1276	0.111324
1277	0.105010
1278	0.109873
1279	0.105587
1280	0.107712
1281	0.109987
1282	0.137616
1283	0.183771
1284	0.447549
1285	0.305867
1286	0.237519
1287	0.218893
1288	0.207094
1289	0.201576
1290	0.196659
1291	0.188362
1292	0.182955
1293	0.181513
1294	0.180887
1295	0.191842
1296	0.177913
1297	0.171789
1298	0.167169
1299	0.165445
1300	0.170555
1301	0.168174
1302	0.168064
1303	0.181467
1304	0.168873
1305	0.165089
1306	0.154362
1307	0.148923
1308	0.148381
1309	0.137960
1310	0.133318
1311	0.146960
1312	0.125345
1313	0.130366
1314	0.304716
1315	0.159165
1316	0.125705
1317	0.107957
1318	0.107227
1319	0.107826
1320	0.108368
1321	0.105797
1322	0.101006
1323	0.100034
1324	0.105277
1325	0.102531
1326	0.095405
1327	0.098970
1328	0.097590
1329	0.097303
1330	0.093285
1331	0.097481
1332	0.094387
1333	0.099081
1334	0.098270
1335	0.097423
1336	0.102454
1337	0.100541
1338	0.104833
1339	0.110793
1340	0.114728
1341	0.096034
1342	0.098373
1343	0.096154
1344	0.106816
1345	0.102780
1346	0.098196
1347	0.101657
1348	0.096080
1349	0.097940
1350	0.106722
1351	0.098307
1352	0.096715
1353	0.097748
1354	0.100389
1355	0.103491
1356	0.104623
1357	0.099235
1358	0.101852
1359	0.106076
1360	0.114418
1361	0.098869
1362	0.099268
1363	0.098177
1364	0.104743
1365	0.102386
1366	0.124521
1367	0.178521
1368	0.203301
1369	0.256481
1370	0.190650
1371	0.173602
1372	0.157901
1373	0.159904
1374	0.201604
1375	0.161943
1376	0.151365
1377	0.141079
1378	0.137344
1379	0.145232
1380	0.190045
1381	0.177694
1382	0.145753
1383	0.136556
1384	0.134541
1385	0.145037
1386	0.173831
1387	0.143953
1388	0.137755
1389	0.128039
1390	0.152334
1391	0.185183
1392	0.140038
1393	0.131191
1394	0.119768
1395	0.111531
1396	0.121815
1397	0.141713
1398	0.148603
1399	0.125713
1400	0.115555
1401	0.122835
1402	0.146032
1403	0.143527
1404	0.121990
1405	0.105149
1406	0.102555
1407	0.099807
1408	0.100409
1409	0.101743
1410	0.100401
1411	0.101563
1412	0.103631
1413	0.108189
1414	0.104351
1415	0.098195
1416	0.103316
1417	0.102459
1418	0.106488
1419	0.104286
1420	0.103954
1421	0.103883
1422	0.104728
1423	0.110868
1424	0.111441
1425	0.107216
1426	0.114588
1427	0.117146
1428	0.118903
1429	0.137566
1430	0.125529
1431	0.102540
1432	0.096909
1433	0.099439
1434	0.105357
1435	0.123418
1436	0.107735
1437	0.109194
1438	0.100791
1439	0.103604
1440	0.098818
1441	0.099798
1442	0.095221
1443	0.098617
1444	0.100530
1445	0.103651
1446	0.096844
1447	0.106304
1448	0.097714
1449	0.102175
1450	0.102013
1451	0.101198
1452	0.101843
1453	0.107757
1454	0.096171
1455	0.102479
1456	0.104841
1457	0.110604
1458	0.105825
1459	0.103377
1460	0.099246
1461	0.097889
1462	0.105625
1463	0.115616
1464	0.142432
1465	0.171185
1466	0.148493
1467	0.148580
1468	0.142373
1469	0.140908
1470	0.116392
1471	0.099945
1472	0.099286
1473	0.095832
1474	0.092919
1475	0.095712
1476	0.095630
1477	0.094846
1478	0.098790
1479	0.095867
1480	0.100707
1481	0.095011
1482	0.097393
1483	0.097280
1484	0.094691
1485	0.098613
1486	0.101236
1487	0.096226
1488	0.094971
1489	0.092882
1490	0.109227
1491	0.103768
1492	0.099600
1493	0.100316
1494	0.098759
1495	0.103160
1496	0.105865
1497	0.092000
1498	0.109477
1499	0.102701
1500	0.099186
1501	0.094458
1502	0.100177
1503	0.100417
1504	0.103454
1505	0.097513
1506	0.097961
1507	0.100624
1508	0.110949
1509	0.110404
1510	0.097388
1511	0.101961
1512	0.112433
1513	0.104299
