########

## 	Model: LSTM with N=1024

########

912	0.126827
913	0.114032
914	0.140890
915	0.115198
916	0.107036
917	0.110436
918	0.117117
919	0.107010
920	0.107826
921	0.110455
922	0.128743
923	0.113966
924	0.132616
925	0.117717
926	0.124664
927	0.109739
928	0.126506
929	0.107472
930	0.106631
931	0.111216
932	0.117777
933	0.122391
934	0.110426
935	0.124077
936	0.112157
937	0.123559
938	0.112401
939	0.106833
940	0.105612
941	0.121734
942	0.111443
943	0.142943
944	0.110088
945	0.115804
946	0.118240
947	0.107104
948	0.121228
949	0.109248
950	0.117279
951	0.112190
952	0.104818
953	0.112262
954	0.217156
955	0.149914
956	0.141529
957	0.133515
958	0.131740
959	0.124801
960	0.129464
961	0.127328
962	0.124493
963	0.131121
964	0.114743
965	0.106719
966	0.113756
967	0.103627
968	0.114757
969	0.116905
970	0.115175
971	0.115019
972	0.110629
973	0.113245
974	0.109670
975	0.106436
976	0.123041
977	0.106439
978	0.108755
979	0.114430
980	0.105604
981	0.108029
982	0.122018
983	0.110747
984	0.120557
985	0.117377
986	0.112123
987	0.108184
988	0.117539
989	0.110311
990	0.113021
991	0.111653
992	0.136537
993	0.104923
994	0.104261
995	0.106397
996	0.106193
997	0.111471
998	0.108795
999	0.119624
1000	0.112211
1001	0.135621
1002	0.116182
1003	0.101467
1004	0.115127
1005	0.121517
1006	0.141348
1007	0.111594
1008	0.114806
1009	0.105856
1010	0.113267
1011	0.115040
1012	0.141311
1013	0.125163
1014	0.141148
1015	0.119694
1016	0.113591
1017	0.116761
1018	0.120826
1019	0.111843
1020	0.120868
1021	0.116491
1022	0.119239
1023	0.109738
1024	0.128863
1025	0.109833
1026	0.108419
1027	0.108978
1028	0.112626
1029	0.113466
1030	0.105485
1031	0.120235
1032	0.106155
1033	0.109681
1034	0.113227
1035	0.123119
1036	0.102515
1037	0.107908
1038	0.119733
1039	0.118458
1040	0.128632
1041	0.119520
1042	0.112917
1043	0.107477
1044	0.110231
1045	0.119516
1046	0.133279
1047	0.103028
1048	0.119313
1049	0.116962
1050	0.116216
1051	0.106333
1052	0.114096
1053	0.109950
1054	0.111120
1055	0.109311
1056	0.123394
1057	0.105357
1058	0.111066
1059	0.109957
1060	0.112471
1061	0.118190
1062	0.121692
1063	0.106371
1064	0.123955
1065	0.108578
1066	0.121785
1067	0.111136
1068	0.124502
1069	0.122736
1070	0.107452
1071	0.116948
1072	0.107139
1073	0.122917
1074	0.110052
1075	0.100715
1076	0.118001
1077	0.105564
1078	0.115529
1079	0.116808
1080	0.116202
1081	0.111002
1082	0.115737
1083	0.108899
1084	0.125338
1085	0.110672
1086	0.116113
1087	0.113349
1088	0.115531
1089	0.118873
1090	0.110472
1091	0.107728
1092	0.123689
1093	0.113668
1094	0.114208
1095	0.115031
1096	0.127393
1097	0.102820
1098	0.112872
1099	0.108664
1100	0.122723
1101	0.110131
1102	0.097530
1103	0.122647
1104	0.116452
1105	0.114962
1106	0.117158
1107	0.116883
1108	0.129155
1109	0.107714
1110	0.105387
1111	0.119196
1112	0.109949
1113	0.128146
1114	0.122653
1115	0.118112
1116	0.113307
1117	0.112828
1118	0.118914
1119	0.108109
1120	0.117216
1121	0.102776
1122	0.113182
1123	0.109739
1124	0.109437
1125	0.108208
1126	0.118086
1127	0.104216
1128	0.106983
1129	0.106204
1130	0.119570
1131	0.109012
1132	0.105807
1133	0.112187
1134	0.107786
1135	0.114698
1136	0.117825
1137	0.108037
1138	0.115392
1139	0.107230
1140	0.133018
1141	0.108315
1142	0.113243
1143	0.106832
1144	0.111639
1145	0.101568
1146	0.120718
1147	0.107962
1148	0.112112
1149	0.098353
1150	0.093128
1151	0.102939
1152	0.101739
1153	0.103545
1154	0.112519
1155	0.128683
1156	0.110390
1157	0.107257
1158	0.100806
1159	0.114634
1160	0.110729
1161	0.119626
1162	0.119040
1163	0.109585
1164	0.108139
1165	0.112742
1166	0.119558
1167	0.108976
1168	0.113808
1169	0.105502
1170	0.120474
1171	0.103820
1172	0.125493
1173	0.112086
1174	0.109782
1175	0.111733
1176	0.101424
1177	0.109065
1178	0.103730
1179	0.102771
1180	0.112431
1181	0.109264
1182	0.115931
1183	0.133508
1184	0.112905
1185	0.112489
1186	0.112457
1187	0.108640
1188	0.124656
1189	0.111209
1190	0.110247
1191	0.116688
1192	0.119303
1193	0.139323
1194	0.104133
1195	0.100943
1196	0.108768
1197	0.104433
1198	0.109241
1199	0.107753
1200	0.134286
1201	0.115232
1202	0.117967
1203	0.118359
1204	0.118560
1205	0.118476
1206	0.113985
1207	0.116753
1208	0.106028
1209	0.121448
1210	0.111809
1211	0.123981
1212	0.111840
1213	0.108308
1214	0.099491
1215	0.097989
1216	0.106160
1217	0.116083
1218	0.118296
1219	0.108204
1220	0.125505
1221	0.109383
1222	0.102773
1223	0.108209
1224	0.116415
1225	0.114183
1226	0.124378
1227	0.108301
1228	0.107142
1229	0.107910
1230	0.105317
1231	0.111541
1232	0.105117
1233	0.107195
1234	0.116046
1235	0.119171
1236	0.134801
1237	0.108335
1238	0.098590
1239	0.115479
1240	0.111123
1241	0.129544
1242	0.109424
1243	0.103978
1244	0.104148
1245	0.105658
1246	0.116607
1247	0.112360
1248	0.105629
1249	0.109296
1250	0.116165
1251	0.130660
1252	0.118442
1253	0.115795
1254	0.108581
1255	0.116724
1256	0.110359
1257	0.111363
1258	0.105398
1259	0.126969
1260	0.099935
1261	0.097427
1262	0.109575
1263	0.113329
1264	0.106547
1265	0.102128
1266	0.114137
1267	0.102055
1268	0.120333
1269	0.111143
1270	0.117200
1271	0.117864
1272	0.110441
1273	0.108240
1274	0.123574
1275	0.103415
1276	0.104301
1277	0.100601
1278	0.115414
1279	0.115210
1280	0.115629
1281	0.117992
1282	0.112564
1283	0.110595
1284	0.129013
1285	0.100345
1286	0.098747
1287	0.101498
1288	0.108444
1289	0.103555
1290	0.103117
1291	0.104031
1292	0.115263
1293	0.118655
1294	0.111673
1295	0.109243
1296	0.136339
1297	0.138859
1298	0.123834
1299	0.125627
1300	0.113370
1301	0.122133
1302	0.110111
1303	0.105619
1304	0.112008
1305	0.124336
1306	0.102629
1307	0.111319
1308	0.103967
1309	0.112115
1310	0.119553
1311	0.103130
1312	0.107281
1313	0.115731
1314	0.112144
1315	0.114473
1316	0.105936
1317	0.121769
1318	0.103931
1319	0.097677
1320	0.100212
1321	0.104483
1322	0.103753
1323	0.123063
1324	0.110341
1325	0.109914
1326	0.102769
1327	0.114205
1328	0.110945
1329	0.105286
1330	0.105005
1331	0.118947
1332	0.113521
1333	0.111093
1334	0.114557
1335	0.118312
1336	0.097469
1337	0.109591
1338	0.113623
1339	0.114286
1340	0.113946
1341	0.118155
1342	0.109854
1343	0.121025
1344	0.110609
1345	0.106576
1346	0.104667
1347	0.134872
1348	0.103161
1349	0.103968
1350	0.104803
1351	0.105859
1352	0.120135
1353	0.105956
1354	0.102901
1355	0.104670
1356	0.105333
1357	0.104043
1358	0.118231
1359	0.114676
1360	0.105116
1361	0.108928
1362	0.108518
1363	0.115578
1364	0.101828
1365	0.110446
1366	0.110539
1367	0.115304
1368	0.108398
1369	0.110395
1370	0.144009
1371	0.121508
1372	0.106780
1373	0.112158
1374	0.110163
1375	0.114101
1376	0.107832
1377	0.106224
1378	0.098576
1379	0.121069
1380	0.125400
1381	0.107331
1382	0.099461
1383	0.103682
1384	0.113247
1385	0.113787
1386	0.106188
1387	0.111183
1388	0.115781
1389	0.104411
1390	0.118746
1391	0.121226
1392	0.109387
1393	0.112897
1394	0.102755
1395	0.105031
1396	0.105027
1397	0.107814
1398	0.118913
1399	0.111443
1400	0.111600
1401	0.108432
1402	0.124674
1403	0.111794
1404	0.114332
1405	0.109068
1406	0.106899
1407	0.121091
1408	0.104853
1409	0.100846
1410	0.111721
1411	0.100191
1412	0.112096
1413	0.119349
1414	0.103450
1415	0.121299
1416	0.118229
1417	0.113125
1418	0.113804
1419	0.111984
1420	0.107021
1421	0.115237
1422	0.113368
1423	0.103508
1424	0.112534
1425	0.119692
1426	0.112603
1427	0.107984
1428	0.105437
1429	0.118929
1430	0.116439
1431	0.108230
1432	0.118014
1433	0.105034
1434	0.105142
1435	0.106554
1436	0.109019
1437	0.104590
1438	0.113823
1439	0.106799
1440	0.105241
1441	0.110805
1442	0.115913
1443	0.112114
1444	0.122635
1445	0.114205
1446	0.098965
1447	0.101879
1448	0.109503
1449	0.113082
1450	0.112041
1451	0.105021
1452	0.122562
1453	0.116196
1454	0.106233
1455	0.109277
1456	0.117548
1457	0.106109
1458	0.110336
1459	0.105042
1460	0.110526
1461	0.101743
1462	0.107544
1463	0.106239
1464	0.116750
1465	0.107696
1466	0.120707
1467	0.111413
1468	0.104131
1469	0.110928
1470	0.112107
1471	0.104633
1472	0.102849
1473	0.112809
1474	0.102782
1475	0.107713
1476	0.108608
1477	0.109527
1478	0.121695
1479	0.105938
1480	0.131806
