########

## 	Model: EURNN with N=512 FFT

########

749	0.236498
750	0.232073
751	0.229771
752	0.234898
753	0.233129
754	0.233239
755	0.265984
756	0.260856
757	0.258694
758	0.242866
759	0.275379
760	0.241886
761	0.248429
762	0.385690
763	0.309541
764	0.299256
765	0.324675
766	0.247130
767	0.242060
768	0.232639
769	0.249748
770	0.248187
771	0.235110
772	0.256376
773	0.248922
774	0.238307
775	0.229648
776	0.230475
777	0.229317
778	0.229716
779	0.230092
780	0.227689
781	0.228456
782	0.229591
783	0.229815
784	0.229767
785	0.231334
786	0.237290
787	0.240026
788	0.243107
789	0.232246
790	0.231743
791	0.231772
792	0.231715
793	0.233687
794	0.232796
795	0.233016
796	0.231265
797	0.232817
798	0.232498
799	0.232691
800	0.230301
801	0.233952
802	0.234312
803	0.233928
804	0.236220
805	0.245213
806	0.261956
807	0.249293
808	0.235172
809	0.233054
810	0.243634
811	0.275473
812	0.356447
813	0.429761
814	0.322315
815	0.323333
816	0.309015
817	0.309029
818	0.289087
819	0.296006
820	0.250509
821	0.267695
822	0.261615
823	0.287888
824	0.251864
825	0.245411
826	0.258918
827	0.244885
828	0.254467
829	0.246110
830	0.236621
831	0.229196
832	0.228954
833	0.228814
834	0.229737
835	0.227950
836	0.228891
837	0.228220
838	0.227369
839	0.227754
840	0.229327
841	0.228952
842	0.227659
843	0.229860
844	0.230684
845	0.227975
846	0.232517
847	0.233741
848	0.234135
849	0.251759
850	0.253130
851	0.252298
852	0.255045
853	0.264197
854	0.315498
855	0.293769
856	0.319537
857	0.265535
858	0.302113
859	0.386940
860	0.349883
861	0.456584
862	0.389894
863	0.349044
864	0.414323
865	0.443021
866	0.485720
867	0.250998
868	0.282819
869	0.316290
870	0.341820
871	0.362262
872	0.268530
873	0.238935
874	0.233608
875	0.230711
876	0.232540
877	0.231777
878	0.232487
879	0.233132
880	0.233790
881	0.245818
882	0.256633
883	0.252476
884	0.249023
885	0.247535
886	0.248331
887	0.251025
888	0.247895
889	0.241533
890	0.240530
891	0.238013
892	0.241668
893	0.244166
894	0.261020
895	0.278624
896	0.275710
897	0.256667
898	0.258712
899	0.260917
900	0.256456
901	0.245263
902	0.239924
903	0.240723
904	0.240518
905	0.243841
906	0.242046
907	0.246590
908	0.249042
909	0.254342
910	0.249977
911	0.248972
912	0.246383
913	0.243168
914	0.246266
915	0.247292
916	0.254224
917	0.256881
918	0.252107
919	0.250719
920	0.262553
921	0.263039
922	0.253959
923	0.252633
924	0.244257
925	0.240347
926	0.237689
927	0.237617
928	0.238783
929	0.243922
930	0.244224
931	0.249569
932	0.241800
933	0.243600
934	0.242338
935	0.236764
936	0.239435
937	0.244095
938	0.247482
939	0.252281
940	0.250164
941	0.242023
942	0.237268
943	0.237512
944	0.233294
945	0.232604
946	0.233595
947	0.234682
948	0.239903
949	0.249165
950	0.249623
951	0.257643
952	0.264825
953	0.271261
954	0.265481
955	0.248373
956	0.245958
957	0.247524
958	0.269815
959	0.312719
960	0.468235
961	0.348330
962	0.363423
963	0.367741
964	0.534279
965	0.291153
966	0.376081
967	0.397077
968	0.344405
969	0.264865
970	0.257601
971	0.248056
972	0.264152
973	0.282717
974	0.245681
975	0.236737
976	0.234172
977	0.233806
978	0.233272
979	0.235181
980	0.235117
981	0.232874
982	0.232461
983	0.228806
984	0.230851
985	0.226712
986	0.229453
987	0.227505
988	0.229546
989	0.230338
990	0.230591
991	0.229934
992	0.230604
993	0.231501
994	0.232673
995	0.234406
996	0.232077
997	0.231191
998	0.232109
999	0.231923
1000	0.231541
1001	0.232627
1002	0.233167
1003	0.233442
1004	0.232546
1005	0.236802
1006	0.240267
1007	0.237498
1008	0.235713
1009	0.231262
1010	0.230421
1011	0.231153
1012	0.230797
1013	0.231968
1014	0.233436
1015	0.232102
1016	0.230648
1017	0.231912
1018	0.232827
1019	0.250457
1020	0.267516
1021	0.235428
1022	0.234050
1023	0.233514
1024	0.230999
1025	0.231858
1026	0.231574
1027	0.229792
1028	0.230707
1029	0.229952
1030	0.229863
1031	0.229894
1032	0.230567
1033	0.230391
1034	0.233143
1035	0.233443
1036	0.237856
1037	0.232677
1038	0.240180
1039	0.236412
1040	0.254260
1041	0.257898
1042	0.240563
1043	0.287989
1044	0.467944
1045	0.273704
1046	0.233105
1047	0.241782
1048	0.239242
1049	0.233177
1050	0.231683
1051	0.231396
1052	0.232147
1053	0.229740
1054	0.230106
1055	0.229818
1056	0.230410
1057	0.232322
1058	0.231818
1059	0.231589
1060	0.230106
1061	0.230065
1062	0.231334
1063	0.231239
1064	0.232218
1065	0.237410
1066	0.233644
1067	0.231992
1068	0.232567
1069	0.231927
1070	0.232560
1071	0.233551
1072	0.230379
1073	0.229183
1074	0.230441
1075	0.230470
1076	0.231516
1077	0.231464
1078	0.233365
1079	0.232369
1080	0.232134
1081	0.231020
1082	0.234748
1083	0.231380
1084	0.231959
1085	0.242919
1086	0.244486
1087	0.237276
1088	0.238124
1089	0.230942
1090	0.229220
1091	0.228424
1092	0.230031
1093	0.230107
1094	0.230138
1095	0.228862
1096	0.229819
1097	0.231575
1098	0.230986
1099	0.230009
1100	0.230816
1101	0.233641
1102	0.231855
1103	0.234195
1104	0.241591
1105	0.230104
1106	0.227873
