########

## 	Model: EURNN with N=512 L=2

########

1729	0.229311
1730	0.226545
1731	0.227374
1732	0.229011
1733	0.231128
1734	0.230614
1735	0.227801
1736	0.227864
1737	0.227421
1738	0.227013
1739	0.224529
1740	0.225461
1741	0.223920
1742	0.224948
1743	0.224993
1744	0.226060
1745	0.229160
1746	0.228901
1747	0.231703
1748	0.229350
1749	0.227425
1750	0.225501
1751	0.225844
1752	0.226446
1753	0.225391
1754	0.226969
1755	0.225531
1756	0.227483
1757	0.229068
1758	0.227052
1759	0.226567
1760	0.229553
1761	0.229079
1762	0.226091
1763	0.225811
1764	0.227993
1765	0.227648
1766	0.229219
1767	0.227851
1768	0.227449
1769	0.224271
1770	0.227408
1771	0.226332
1772	0.225474
1773	0.228965
1774	0.227045
1775	0.225751
1776	0.225190
1777	0.227066
1778	0.227081
1779	0.227144
1780	0.225718
1781	0.225165
1782	0.227762
1783	0.226740
1784	0.229954
1785	0.230932
1786	0.231123
1787	0.230068
1788	0.227694
1789	0.225689
1790	0.224185
1791	0.227421
1792	0.228411
1793	0.226420
1794	0.227599
1795	0.227636
1796	0.228011
1797	0.224021
1798	0.226344
1799	0.226646
1800	0.227079
1801	0.227239
1802	0.228144
1803	0.228560
1804	0.228205
1805	0.225698
1806	0.226215
1807	0.226246
1808	0.225997
1809	0.226156
1810	0.226706
1811	0.226644
1812	0.227733
1813	0.227744
1814	0.228139
1815	0.242836
1816	0.230260
1817	0.226181
1818	0.226793
1819	0.225665
1820	0.223585
1821	0.227747
1822	0.223883
1823	0.224174
1824	0.224889
1825	0.228095
1826	0.227572
1827	0.225650
1828	0.225551
1829	0.226442
1830	0.226926
1831	0.223355
1832	0.225257
1833	0.226023
1834	0.225763
1835	0.227645
1836	0.223958
1837	0.231618
1838	0.235551
1839	0.233828
1840	0.226576
1841	0.225740
1842	0.224640
1843	0.225926
1844	0.225137
1845	0.226265
1846	0.225646
1847	0.225561
1848	0.225624
1849	0.226103
1850	0.225405
1851	0.227262
1852	0.226057
1853	0.226898
